year,canton_code,population_start,population_end
2011,ZH,1373068,1392396
2011,BE,979754,985000
2011,LU,377610,381966
2011,UR,35422,35382
2011,SZ,146730,147904
2011,OW,35585,35885
2011,NW,41024,41311
2011,GL,38608,39217
2011,ZG,113105,115104
2011,FR,278541,284714
2011,SO,255284,256990
2011,BS,184950,186255
2011,BL,274404,275360
2011,SH,76356,77139
2011,AR,53017,53313
2011,AI,15688,15743
2011,SG,478907,483156
2011,GR,192621,193388
2011,AG,611466,618298
2011,TG,248444,251973
2011,TI,333753,336943
2011,VD,713281,725944
2011,VS,312684,317022
2011,NE,172085,173183
2011,GE,457715,460534
2011,JU,70032,70542
2012,ZH,1392396,1408575
2012,BE,985000,992567
2012,LU,381966,386082
2012,UR,35382,35693
2012,SZ,147904,149830
2012,OW,35885,36115
2012,NW,41311,41584
2012,GL,39217,39369
2012,ZG,115104,116575
2012,FR,284714,291445
2012,SO,256990,259283
2012,BS,186255,187425
2012,BL,275360,276537
2012,SH,77139,77955
2012,AR,53313,53438
2012,AI,15743,15717
2012,SG,483156,487060
2012,GR,193388,193920
2012,AG,618298,627340
2012,TG,251973,256213
2012,TI,336943,341652
2012,VD,725944,734356
2012,VS,317022,321732
2012,NE,173183,174554
2012,GE,460534,463101
2012,JU,70542,70942
2013,ZH,1408575,1425538
2013,BE,992567,1001232
2013,LU,386082,390349
2013,UR,35693,35865
2013,SZ,149830,151396
2013,OW,36115,36507
2013,NW,41584,41888
2013,GL,39369,39593
2013,ZG,116575,118118
2013,FR,291445,297671
2013,SO,259283,261437
2013,BS,187425,189335
2013,BL,276537,278656
2013,SH,77955,78783
2013,AR,53438,53691
2013,AI,15717,15778
2013,SG,487060,491699
2013,GR,193920,194959
2013,AG,627340,636362
2013,TG,256213,260278
2013,TI,341652,346539
2013,VD,734356,749373
2013,VS,321732,327011
2013,NE,174554,176402
2013,GE,463101,469433
2013,JU,70942,71738
2014,ZH,1425538,1446354
2014,BE,1001232,1009370
2014,LU,390349,394604
2014,UR,35865,36008
2014,SZ,151396,152759
2014,OW,36507,36834
2014,NW,41888,42080
2014,GL,39593,39794
2014,ZG,118118,120089
2014,FR,297671,303425
2014,SO,261437,263719
2014,BS,189335,190580
2014,BL,278656,281301
2014,SH,78783,79417
2014,AR,53691,54064
2014,AI,15778,15854
2014,SG,491699,495824
2014,GR,194959,195886
2014,AG,636362,645277
2014,TG,260278,263733
2014,TI,346539,350363
2014,VD,749373,761446
2014,VS,327011,331763
2014,NE,176402,177327
2014,GE,469433,477385
2014,JU,71738,72410
2015,ZH,1446354,1466424
2015,BE,1009370,1017434
2015,LU,394604,398762
2015,UR,36008,35973
2015,SZ,152759,154093
2015,OW,36834,37076
2015,NW,42080,42420
2015,GL,39794,40028
2015,ZG,120089,122134
2015,FR,303425,307510
2015,SO,263719,266418
2015,BS,190580,191817
2015,BL,281301,283231
2015,SH,79417,79836
2015,AR,54064,54543
2015,AI,15854,15974
2015,SG,495824,499065
2015,GR,195886,196610
2015,AG,645277,653675
2015,TG,263733,267429
2015,TI,350363,351946
2015,VD,761446,773407
2015,VS,331763,335696
2015,NE,177327,178107
2015,GE,477385,484736
2015,JU,72410,72782
2016,ZH,1466424,1487969
2016,BE,1017434,1026464
2016,LU,398762,403397
2016,UR,35973,36145
2016,SZ,154093,155863
2016,OW,37076,37378
2016,NW,42420,42556
2016,GL,40028,40147
2016,ZG,122134,123948
2016,FR,307510,311963
2016,SO,266418,269441
2016,BS,191817,193070
2016,BL,283231,285624
2016,SH,79836,80769
2016,AR,54543,54954
2016,AI,15974,16003
2016,SG,499065,502552
2016,GR,196610,197550
2016,AG,653675,663462
2016,TG,267429,270709
2016,TI,351946,354375
2016,VD,773407,784822
2016,VS,335696,339176
2016,NE,178107,178567
2016,GE,484736,489524
2016,JU,72782,73122
2017,ZH,1487969,1504346
2017,BE,1026464,1031080
2017,LU,403397,406506
2017,UR,36145,36299
2017,SZ,155863,157301
2017,OW,37378,37575
2017,NW,42556,42969
2017,GL,40147,40349
2017,ZG,123948,125421
2017,FR,311963,315120
2017,SO,269441,271432
2017,BS,193070,193908
2017,BL,285624,287023
2017,SH,80769,81351
2017,AR,54954,55178
2017,AI,16003,16105
2017,SG,502552,504686
2017,GR,197550,197888
2017,AG,663462,670988
2017,TG,270709,273801
2017,TI,354375,353709
2017,VD,784822,793129
2017,VS,339176,341463
2017,NE,178567,177964
2017,GE,489524,495249
2017,JU,73122,73290
2018,ZH,1504346,1520968
2018,BE,1031080,1034931
2018,LU,406506,409557
2018,UR,36299,36433
2018,SZ,157301,159165
2018,OW,37575,37841
2018,NW,42969,43223
2018,GL,40349,40403
2018,ZG,125421,126837
2018,FR,315120,318760
2018,SO,271432,273194
2018,BS,193908,194766
2018,BL,287023,288132
2018,SH,81351,81991
2018,AR,55178,55234
2018,AI,16105,16145
2018,SG,504686,507697
2018,GR,197888,198379
2018,AG,670988,678207
2018,TG,273801,276472
2018,TI,353709,353343
2018,VD,793129,799145
2018,VS,341463,343955
2018,NE,177964,176850
2018,GE,495249,499480
2018,JU,73290,73419
2019,ZH,1520968,1539275
2019,BE,1034931,1039426
2019,LU,409557,413120
2019,UR,36433,36703
2019,SZ,159165,160480
2019,OW,37841,37930
2019,NW,43223,43087
2019,GL,40403,40590
2019,ZG,126837,127642
2019,FR,318760,321831
2019,SO,273194,275247
2019,BS,194766,195844
2019,BL,288132,289468
2019,SH,81991,82348
2019,AR,55234,55445
2019,AI,16145,16128
2019,SG,507697,510734
2019,GR,198379,199021
2019,AG,678207,685845
2019,TG,276472,279547
2019,TI,353343,351491
2019,VD,799145,805098
2019,VS,343955,345525
2019,NE,176850,176496
2019,GE,499480,504128
2019,JU,73419,73584
2020,ZH,1539275,1553423
2020,BE,1039426,1043081
2020,LU,413120,416347
2020,UR,36703,36819
2020,SZ,160480,162157
2020,OW,37930,38108
2020,NW,43087,43520
2020,GL,40590,40851
2020,ZG,127642,128794
2020,FR,321831,325547
2020,SO,275247,277462
2020,BS,195844,196735
2020,BL,289468,290969
2020,SH,82348,83107
2020,AR,55445,55309
2020,AI,16128,16293
2020,SG,510734,514504
2020,GR,199021,200096
2020,AG,685845,694072
2020,TG,279547,282909
2020,TI,351491,350986
2020,VD,805098,814762
2020,VS,345525,348503
2020,NE,176496,175894
2020,GE,504128,506343
2020,JU,73584,73709
2021,ZH,1553423,1564662
2021,BE,1043081,1047422
2021,LU,416347,420326
2021,UR,36819,37047
2021,SZ,162157,163689
2021,OW,38108,38435
2021,NW,43520,43894
2021,GL,40851,41190
2021,ZG,128794,129787
2021,FR,325547,329860
2021,SO,277462,280245
2021,BS,196735,196036
2021,BL,290969,292817
2021,SH,83107,83995
2021,AR,55309,55585
2021,AI,16293,16360
2021,SG,514504,519245
2021,GR,200096,201376
2021,AG,694072,703086
2021,TG,282909,285964
2021,TI,350986,352181
2021,VD,814762,822968
2021,VS,348503,353209
2021,NE,175894,176166
2021,GE,506343,509448
2021,JU,73709,73798
2022,ZH,1564662,1579967
2022,BE,1047422,1051437
2022,LU,420326,424851
2022,UR,37047,37317
2022,SZ,163689,164920
2022,OW,38435,38700
2022,NW,43894,44420
2022,GL,41190,41471
2022,ZG,129787,131164
2022,FR,329860,334465
2022,SO,280245,282408
2022,BS,196036,196786
2022,BL,292817,294417
2022,SH,83995,85214
2022,AR,55585,55759
2022,AI,16360,16416
2022,SG,519245,525967
2022,GR,201376,202538
2022,AG,703086,711232
2022,TG,285964,289650
2022,TI,352181,354023
2022,VD,822968,830431
2022,VS,353209,357282
2022,NE,176166,176571
2022,GE,509448,514114
2022,JU,73798,73865
2023,ZH,1579967,1605508
2023,BE,1051437,1063533
2023,LU,424851,432744
2023,UR,37317,37931
2023,SZ,164920,167403
2023,OW,38700,39272
2023,NW,44420,45016
2023,GL,41471,42056
2023,ZG,131164,132556
2023,FR,334465,341537
2023,SO,282408,286844
2023,BS,196786,200031
2023,BL,294417,298837
2023,SH,85214,87111
2023,AR,55759,56495
2023,AI,16416,16585
2023,SG,525967,535114
2023,GR,202538,204888
2023,AG,711232,726894
2023,TG,289650,295220
2023,TI,354023,357720
2023,VD,830431,845870
2023,VS,357282,365844
2023,NE,176571,178291
2023,GE,514114,524410
2023,JU,73865,74548
2024,ZH,1605508,1620020
2024,BE,1063533,1071216
2024,LU,432744,437944
2024,UR,37931,38275
2024,SZ,167403,168931
2024,OW,39272,39662
2024,NW,45016,45345
2024,GL,42056,42371
2024,ZG,132556,133739
2024,FR,341537,346674
2024,SO,286844,289792
2024,BS,200031,201384
2024,BL,298837,301323
2024,SH,87111,88667
2024,AR,56495,56705
2024,AI,16585,16733
2024,SG,535114,540036
2024,GR,204888,206138
2024,AG,726894,735808
2024,TG,295220,299509
2024,TI,357720,358903
2024,VD,845870,855106
2024,VS,365844,371288
2024,NE,178291,179518
2024,GE,524410,531102
2024,JU,74548,74840
