"Year","Canton","Citizenship (category)","Sex","Population on 1 January","Population on 31 December"
"2011","Switzerland","Citizenship (category) - total","Sex - total",7870134,7954662
"2011","Zürich","Citizenship (category) - total","Sex - total",1373068,1392396
"2011","Bern / Berne","Citizenship (category) - total","Sex - total",979754,985000
"2011","Luzern","Citizenship (category) - total","Sex - total",377610,381966
"2011","Uri","Citizenship (category) - total","Sex - total",35422,35382
"2011","Schwyz","Citizenship (category) - total","Sex - total",146730,147904
"2011","Obwalden","Citizenship (category) - total","Sex - total",35585,35885
"2011","Nidwalden","Citizenship (category) - total","Sex - total",41024,41311
"2011","Glarus","Citizenship (category) - total","Sex - total",38608,39217
"2011","Zug","Citizenship (category) - total","Sex - total",113105,115104
"2011","Fribourg / Freiburg","Citizenship (category) - total","Sex - total",278541,284714
"2011","Solothurn","Citizenship (category) - total","Sex - total",255284,256990
"2011","Basel-Stadt","Citizenship (category) - total","Sex - total",184950,186255
"2011","Basel-Landschaft","Citizenship (category) - total","Sex - total",274404,275360
"2011","Schaffhausen","Citizenship (category) - total","Sex - total",76356,77139
"2011","Appenzell Ausserrhoden","Citizenship (category) - total","Sex - total",53017,53313
"2011","Appenzell Innerrhoden","Citizenship (category) - total","Sex - total",15688,15743
"2011","St. Gallen","Citizenship (category) - total","Sex - total",478907,483156
"2011","Graubünden / Grigioni / Grischun","Citizenship (category) - total","Sex - total",192621,193388
"2011","Aargau","Citizenship (category) - total","Sex - total",611466,618298
"2011","Thurgau","Citizenship (category) - total","Sex - total",248444,251973
"2011","Ticino","Citizenship (category) - total","Sex - total",333753,336943
"2011","Vaud","Citizenship (category) - total","Sex - total",713281,725944
"2011","Valais / Wallis","Citizenship (category) - total","Sex - total",312684,317022
"2011","Neuchâtel","Citizenship (category) - total","Sex - total",172085,173183
"2011","Genève","Citizenship (category) - total","Sex - total",457715,460534
"2011","Jura","Citizenship (category) - total","Sex - total",70032,70542
"2011","No indication","Citizenship (category) - total","Sex - total",0,0
"2012","Switzerland","Citizenship (category) - total","Sex - total",7954662,8039060
"2012","Zürich","Citizenship (category) - total","Sex - total",1392396,1408575
"2012","Bern / Berne","Citizenship (category) - total","Sex - total",985000,992567
"2012","Luzern","Citizenship (category) - total","Sex - total",381966,386082
"2012","Uri","Citizenship (category) - total","Sex - total",35382,35693
"2012","Schwyz","Citizenship (category) - total","Sex - total",147904,149830
"2012","Obwalden","Citizenship (category) - total","Sex - total",35885,36115
"2012","Nidwalden","Citizenship (category) - total","Sex - total",41311,41584
"2012","Glarus","Citizenship (category) - total","Sex - total",39217,39369
"2012","Zug","Citizenship (category) - total","Sex - total",115104,116575
"2012","Fribourg / Freiburg","Citizenship (category) - total","Sex - total",284714,291445
"2012","Solothurn","Citizenship (category) - total","Sex - total",256990,259283
"2012","Basel-Stadt","Citizenship (category) - total","Sex - total",186255,187425
"2012","Basel-Landschaft","Citizenship (category) - total","Sex - total",275360,276537
"2012","Schaffhausen","Citizenship (category) - total","Sex - total",77139,77955
"2012","Appenzell Ausserrhoden","Citizenship (category) - total","Sex - total",53313,53438
"2012","Appenzell Innerrhoden","Citizenship (category) - total","Sex - total",15743,15717
"2012","St. Gallen","Citizenship (category) - total","Sex - total",483156,487060
"2012","Graubünden / Grigioni / Grischun","Citizenship (category) - total","Sex - total",193388,193920
"2012","Aargau","Citizenship (category) - total","Sex - total",618298,627340
"2012","Thurgau","Citizenship (category) - total","Sex - total",251973,256213
"2012","Ticino","Citizenship (category) - total","Sex - total",336943,341652
"2012","Vaud","Citizenship (category) - total","Sex - total",725944,734356
"2012","Valais / Wallis","Citizenship (category) - total","Sex - total",317022,321732
"2012","Neuchâtel","Citizenship (category) - total","Sex - total",173183,174554
"2012","Genève","Citizenship (category) - total","Sex - total",460534,463101
"2012","Jura","Citizenship (category) - total","Sex - total",70542,70942
"2012","No indication","Citizenship (category) - total","Sex - total",0,0
"2013","Switzerland","Citizenship (category) - total","Sex - total",8039060,8139631
"2013","Zürich","Citizenship (category) - total","Sex - total",1408575,1425538
"2013","Bern / Berne","Citizenship (category) - total","Sex - total",992567,1001232
"2013","Luzern","Citizenship (category) - total","Sex - total",386082,390349
"2013","Uri","Citizenship (category) - total","Sex - total",35693,35865
"2013","Schwyz","Citizenship (category) - total","Sex - total",149830,151396
"2013","Obwalden","Citizenship (category) - total","Sex - total",36115,36507
"2013","Nidwalden","Citizenship (category) - total","Sex - total",41584,41888
"2013","Glarus","Citizenship (category) - total","Sex - total",39369,39593
"2013","Zug","Citizenship (category) - total","Sex - total",116575,118118
"2013","Fribourg / Freiburg","Citizenship (category) - total","Sex - total",291445,297671
"2013","Solothurn","Citizenship (category) - total","Sex - total",259283,261437
"2013","Basel-Stadt","Citizenship (category) - total","Sex - total",187425,189335
"2013","Basel-Landschaft","Citizenship (category) - total","Sex - total",276537,278656
"2013","Schaffhausen","Citizenship (category) - total","Sex - total",77955,78783
"2013","Appenzell Ausserrhoden","Citizenship (category) - total","Sex - total",53438,53691
"2013","Appenzell Innerrhoden","Citizenship (category) - total","Sex - total",15717,15778
"2013","St. Gallen","Citizenship (category) - total","Sex - total",487060,491699
"2013","Graubünden / Grigioni / Grischun","Citizenship (category) - total","Sex - total",193920,194959
"2013","Aargau","Citizenship (category) - total","Sex - total",627340,636362
"2013","Thurgau","Citizenship (category) - total","Sex - total",256213,260278
"2013","Ticino","Citizenship (category) - total","Sex - total",341652,346539
"2013","Vaud","Citizenship (category) - total","Sex - total",734356,749373
"2013","Valais / Wallis","Citizenship (category) - total","Sex - total",321732,327011
"2013","Neuchâtel","Citizenship (category) - total","Sex - total",174554,176402
"2013","Genève","Citizenship (category) - total","Sex - total",463101,469433
"2013","Jura","Citizenship (category) - total","Sex - total",70942,71738
"2013","No indication","Citizenship (category) - total","Sex - total",0,0
"2014","Switzerland","Citizenship (category) - total","Sex - total",8139631,8237666
"2014","Zürich","Citizenship (category) - total","Sex - total",1425538,1446354
"2014","Bern / Berne","Citizenship (category) - total","Sex - total",1001232,1009370
"2014","Luzern","Citizenship (category) - total","Sex - total",390349,394604
"2014","Uri","Citizenship (category) - total","Sex - total",35865,36008
"2014","Schwyz","Citizenship (category) - total","Sex - total",151396,152759
"2014","Obwalden","Citizenship (category) - total","Sex - total",36507,36834
"2014","Nidwalden","Citizenship (category) - total","Sex - total",41888,42080
"2014","Glarus","Citizenship (category) - total","Sex - total",39593,39794
"2014","Zug","Citizenship (category) - total","Sex - total",118118,120089
"2014","Fribourg / Freiburg","Citizenship (category) - total","Sex - total",297671,303425
"2014","Solothurn","Citizenship (category) - total","Sex - total",261437,263719
"2014","Basel-Stadt","Citizenship (category) - total","Sex - total",189335,190580
"2014","Basel-Landschaft","Citizenship (category) - total","Sex - total",278656,281301
"2014","Schaffhausen","Citizenship (category) - total","Sex - total",78783,79417
"2014","Appenzell Ausserrhoden","Citizenship (category) - total","Sex - total",53691,54064
"2014","Appenzell Innerrhoden","Citizenship (category) - total","Sex - total",15778,15854
"2014","St. Gallen","Citizenship (category) - total","Sex - total",491699,495824
"2014","Graubünden / Grigioni / Grischun","Citizenship (category) - total","Sex - total",194959,195886
"2014","Aargau","Citizenship (category) - total","Sex - total",636362,645277
"2014","Thurgau","Citizenship (category) - total","Sex - total",260278,263733
"2014","Ticino","Citizenship (category) - total","Sex - total",346539,350363
"2014","Vaud","Citizenship (category) - total","Sex - total",749373,761446
"2014","Valais / Wallis","Citizenship (category) - total","Sex - total",327011,331763
"2014","Neuchâtel","Citizenship (category) - total","Sex - total",176402,177327
"2014","Genève","Citizenship (category) - total","Sex - total",469433,477385
"2014","Jura","Citizenship (category) - total","Sex - total",71738,72410
"2014","No indication","Citizenship (category) - total","Sex - total",0,0
"2015","Switzerland","Citizenship (category) - total","Sex - total",8237666,8327126
"2015","Zürich","Citizenship (category) - total","Sex - total",1446354,1466424
"2015","Bern / Berne","Citizenship (category) - total","Sex - total",1009370,1017434
"2015","Luzern","Citizenship (category) - total","Sex - total",394604,398762
"2015","Uri","Citizenship (category) - total","Sex - total",36008,35973
"2015","Schwyz","Citizenship (category) - total","Sex - total",152759,154093
"2015","Obwalden","Citizenship (category) - total","Sex - total",36834,37076
"2015","Nidwalden","Citizenship (category) - total","Sex - total",42080,42420
"2015","Glarus","Citizenship (category) - total","Sex - total",39794,40028
"2015","Zug","Citizenship (category) - total","Sex - total",120089,122134
"2015","Fribourg / Freiburg","Citizenship (category) - total","Sex - total",303425,307510
"2015","Solothurn","Citizenship (category) - total","Sex - total",263719,266418
"2015","Basel-Stadt","Citizenship (category) - total","Sex - total",190580,191817
"2015","Basel-Landschaft","Citizenship (category) - total","Sex - total",281301,283231
"2015","Schaffhausen","Citizenship (category) - total","Sex - total",79417,79836
"2015","Appenzell Ausserrhoden","Citizenship (category) - total","Sex - total",54064,54543
"2015","Appenzell Innerrhoden","Citizenship (category) - total","Sex - total",15854,15974
"2015","St. Gallen","Citizenship (category) - total","Sex - total",495824,499065
"2015","Graubünden / Grigioni / Grischun","Citizenship (category) - total","Sex - total",195886,196610
"2015","Aargau","Citizenship (category) - total","Sex - total",645277,653675
"2015","Thurgau","Citizenship (category) - total","Sex - total",263733,267429
"2015","Ticino","Citizenship (category) - total","Sex - total",350363,351946
"2015","Vaud","Citizenship (category) - total","Sex - total",761446,773407
"2015","Valais / Wallis","Citizenship (category) - total","Sex - total",331763,335696
"2015","Neuchâtel","Citizenship (category) - total","Sex - total",177327,178107
"2015","Genève","Citizenship (category) - total","Sex - total",477385,484736
"2015","Jura","Citizenship (category) - total","Sex - total",72410,72782
"2015","No indication","Citizenship (category) - total","Sex - total",0,0
"2016","Switzerland","Citizenship (category) - total","Sex - total",8327126,8419550
"2016","Zürich","Citizenship (category) - total","Sex - total",1466424,1487969
"2016","Bern / Berne","Citizenship (category) - total","Sex - total",1017434,1026464
"2016","Luzern","Citizenship (category) - total","Sex - total",398762,403397
"2016","Uri","Citizenship (category) - total","Sex - total",35973,36145
"2016","Schwyz","Citizenship (category) - total","Sex - total",154093,155863
"2016","Obwalden","Citizenship (category) - total","Sex - total",37076,37378
"2016","Nidwalden","Citizenship (category) - total","Sex - total",42420,42556
"2016","Glarus","Citizenship (category) - total","Sex - total",40028,40147
"2016","Zug","Citizenship (category) - total","Sex - total",122134,123948
"2016","Fribourg / Freiburg","Citizenship (category) - total","Sex - total",307510,311963
"2016","Solothurn","Citizenship (category) - total","Sex - total",266418,269441
"2016","Basel-Stadt","Citizenship (category) - total","Sex - total",191817,193070
"2016","Basel-Landschaft","Citizenship (category) - total","Sex - total",283231,285624
"2016","Schaffhausen","Citizenship (category) - total","Sex - total",79836,80769
"2016","Appenzell Ausserrhoden","Citizenship (category) - total","Sex - total",54543,54954
"2016","Appenzell Innerrhoden","Citizenship (category) - total","Sex - total",15974,16003
"2016","St. Gallen","Citizenship (category) - total","Sex - total",499065,502552
"2016","Graubünden / Grigioni / Grischun","Citizenship (category) - total","Sex - total",196610,197550
"2016","Aargau","Citizenship (category) - total","Sex - total",653675,663462
"2016","Thurgau","Citizenship (category) - total","Sex - total",267429,270709
"2016","Ticino","Citizenship (category) - total","Sex - total",351946,354375
"2016","Vaud","Citizenship (category) - total","Sex - total",773407,784822
"2016","Valais / Wallis","Citizenship (category) - total","Sex - total",335696,339176
